codice,denominazione,profilo,profilo_label,termini_processuali,fonti_ufficiali,quality_hint
151111,"Cause di responsabilita proposte dalla L.CA. in societa fiduciarie e di revisione ex art. 2, L. n. 430/1986 (COLLEGIO E RITO DEL LAVORO)",lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
151120,"Rapporti sociali e cessione di partecipazione nelle societa di fatto, di persone, di capitali, di cooperative e mutue assicuratrici",crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
151121,Cause in materia di trasferimento di partecipazioni sociali etc.,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
151122,Cause in materia di patti parasociali,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
151123,Cause in materia di offerte pubbliche etc.,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
151130,Opposizione dei creditori alla fusione delle societa (art. 2503 c.c.),impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
151999,Altri istituti di diritto societario,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
152001,Cause di respons. vs gli amministratori delle società di persone,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
152003,Impugnazione delle delibere di assemblea – società di persone,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
152004,Cause in materia di rapporti societari – società di persone,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
152005,Cause in materia di trasferimento di partecipazioni sociali etc. – società di persone,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
152006,Cause in materia di patti parasociali – società di persone,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
152110,"Cause di responsabilita contro gli organi amministrativi e di controllo, i direttori generali e i liquidatori delle associazioni in partecipazione e dei consorzi (COLLEGIO)",crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
152112,Impugnazione delle deliberazioni dell'assemblea e del consiglio di amministrazione delle associazioni in partecipazione e dei consorzi (COLLEGIO),impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
152999,Altre controversie in materia di società di persone,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
153120,"Cause in materia di rapporti societari, ivi compresi quelli concernenti le societa di fatto nonche l'accertamento, la costituzione, la modificazione o l'estinzione del rapporto societario",crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
153121,Cause in materia di trasferimento di partecipazioni sociali e di negozi o diritti inerenti,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
153122,Cause in materia di patti parasociali,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
153123,"Cause in materia di offerte pubbliche di acquisto, di scambio e di vendita (O.P.A., O.P.S., O.P.V.)",esecuzione,Esecuzione forzata,5,5,curata_codex_fonti_ufficiali
153999,Altri istituti di diritto societario soggetti al d.l.vo n. 5/2003,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
154112,"Pagamento di somma di danaro o di consegna di cosa mobile in cause di impugnazione delle deliberazioni dell'assemblea e del c.d.a. delle societa, delle mutue assicuratrici e delle societa cooperative",impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
154120,"Pagamento di somma di danaro o di consegna di cosa mobile in materia di rapporti societari, ivi compresi quelli concernenti le societa di fatto",crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
154121,Pagamento di somma di danaro o di consegna di cosa mobile in cause in materia di trasferimento di partecipazioni sociali e di negozi o diritti inerenti,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
154122,Pagamento di somma di danaro o di consegna di cosa mobile in cause in materia di patti parasociali,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
154123,"Pagamento di somma di danaro o di consegna di cosa mobile in cause in materia di offerte pubbliche di acquisto, di scambio e di vendita (O.P.A., O.P.S., O.P.V.)",esecuzione,Esecuzione forzata,5,5,curata_codex_fonti_ufficiali
154999,Pagamento di somma di danaro o di consegna di cosa mobile in cause residuali in materia di dirtto societario soggette al d.l.vo n. 5/2003,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
170001,Brevetto (invenzione e modello) - Marchio: Nullita - Decadenza,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
170004,Marchio,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
170011,Concorrenza sleale,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
170013,Concorrenza sleale interferente,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
170014,Marchi di fatto,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
170015,Nome a dominio,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
170021,Diritto di autore,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
170031,Ditta - Insegna - Denominazione sociale - Ragione sociale,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
170041,Antitrust afferente diritti di proprietà industriale,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
170042,Antitrust,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
170999,Altri istituti di diritto industriale,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
171002,Opposizione all'accertamento dello stato di insolvenza,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
171101,azione di inefficacia ex art. 44,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
171102,azione di inefficacia ex art. 64,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
171103,azione ex artt. 72 e ss.,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
171104,azione di inefficacia ex art. 167,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
171204,Istanza di revocazione contro crediti ammessi (art. 102),impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
171205,"Domande di rivendicazione,, restituzione e separazione di cose mobili (art. 103)",crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
171301,Contestazione avverso il rendiconto del curatore (art. 116),crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
171311,Cause di omologazione di concordato fallimentare (artt. 124 e ss.),crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
171321,Cause di omologazione di concordato preventivo (art. 160 e ss.),crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
171401,Istanza e ricorso per la dichiarazione di fallimento e relativo reclamo (art. 6-22 del R.D. n. 267/1942),impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
171402,Istanza per estensione di fallimento (art. 147 del R.D. n. 267/1942,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
171403,Accertamento dello stato di insolvenza nella Liquidazione coatta amministrativa o nella Amministrazione straordinaria e relativo reclamo,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
171404,Esdebitazione del Debitore Incapiente (CCI),crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
171405,Reclamo avverso il rigetto della dichiarazione dello stato di insolvenza (LCA),impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
171406,Opposizione all'omologazione del piano di ristrutturazione,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
171999,Altri istituti di diritto fallimentare,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
172001,Brevetto (invenzione e modello) - Marchio,impresa_societario,"Impresa, societario e proprietà industriale",3,6,curata_codex_fonti_ufficiali
172011,Concorrenza sleale,impresa_societario,"Impresa, societario e proprietà industriale",3,6,curata_codex_fonti_ufficiali
172012,Concorrenza sleale interferente- marchio di fatto - nome a dominio,impresa_societario,"Impresa, societario e proprietà industriale",3,6,curata_codex_fonti_ufficiali
172021,Diritto di autore,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
172031,Ditta - Insegna - Denominazione sociale,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
172999,Altri istituti di diritto industriale,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
173001,Brevetto (invenzione e modello) - Marchio,impresa_societario,"Impresa, societario e proprietà industriale",3,6,curata_codex_fonti_ufficiali
173011,Concorrenza sleale,impresa_societario,"Impresa, societario e proprietà industriale",3,6,curata_codex_fonti_ufficiali
173012,Concorrenza sleale interferente- marchio di fatto - nome a dominio,impresa_societario,"Impresa, societario e proprietà industriale",3,6,curata_codex_fonti_ufficiali
173021,Diritto di autore,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
173031,Ditta - Insegna - Denominazione sociale,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
173999,Altri istituti di diritto industriale,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
174101,Azione di inefficacia ex art. 144 CCI,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
174102,Azione di inefficacia ex art. 163 CCI,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
174103,Azione di inefficacia ex art. 94 CCI,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
174104,Azione revocatoria ex art. 166 CCI,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
174201,Opposizione sentenza di apertura della liquidazione giudiziale,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
174202,Opposizione all'accertamento dello stato di insolvenza,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
174203,Opposizione omologazione concordato preventivo,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
174204,Opposizione omologazione accordo di ristrutturazione,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
174999,Altri istituti di diritto concorsuale,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
180003,Opposizione ordinanza prefettizia di cui all'art. 75 c.4 DPR 309/1990 (stupefacenti),impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
180004,Opposizione ordinanza/decreto prefettizio di cui all'art. di cui all'art. 75 c.9 DPR 309/1990 (stupefacenti),impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
180011,Risarcimento danni da occupazione illegittima ed accessione invertita,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
180021,Contenzioso di diritto tributario e doganale,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
180031,Contenzioso di diritto valutario,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
180041,Contenzioso relativo a beni demaniali,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
180051,Risarcimento danni da provvedimento illegittimo della P-A.,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
180999,Altre controversie di diritto amministrativo,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
181003,"Cause di respons. vs gli organi amministrativi e di controllo,etc - Sez. Spec. Impresa",crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181004,"Impugn delle deliber. dell'assem. e del CdA,etc. - Sez. Spec. Impresa",impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
181005,Cause in materia di rapporti societari - Sez. Spec. Impresa,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181006,Brevetto di invenzione,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181007,Brevetto di modello di utilita',crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181008,Marchio,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181009,Concorrenza sleale interferente,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181010,Marchi di fatto,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181011,Nome a dominio,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181012,Diritto di autore e diritti connessi,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181013,Ditta - Insegna - Denominazione sociale - Ragione sociale,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181014,Disegni e modelli comunitari registrati,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181015,Disegni e modelli comunitari non registrati,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181016,Disegni e modelli nazionali,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181017,Controversie in materia di proprietà industriale per violazione della normativa antitrust nazionale,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181018,Controversie in materia di proprietà industriale per violazione della normativa antitrust dell’Unione Europea,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181019,Controversie in materia di operazioni di concentrazione societarie,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181022,Marchio Europeo,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181023,Brevetto Europeo,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181024,Marchio collettivo (art. 11 c.p.i.),crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181025,Tutela indicazioni geografiche (art. 29 c.p.i.),impresa_societario,"Impresa, societario e proprietà industriale",3,6,curata_codex_fonti_ufficiali
181026,Tutela segreti commerciali (art. 98 c.p.i.),impresa_societario,"Impresa, societario e proprietà industriale",3,6,curata_codex_fonti_ufficiali
181027,Tutela delle informazioni segrete – Know how (art. 99 c.p.i.),impresa_societario,"Impresa, societario e proprietà industriale",3,6,curata_codex_fonti_ufficiali
181028,Appalti pubblici sopra soglia di rilevanza comunitaria,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181029,Cause in materia di trasferimento di partecipazioni sociali etc. - Sez. Spec. imprese,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181030,Cause in materia di patti parasociali - Sez. Spec. Impresa,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181031,Cause in materia di offerte pubbliche etc. - Sez. Spec. Impresa,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181032,Revocazione ex art. 395 c.p.c. - Sez. Spec. Impresa,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
181033,Opposizione di terzo ex artt. 404 e ss. c.p.c. - Sez. Spec. Impresa,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
181034,Controversie in materia di indennità di espropriazione dei diritti di proprietà industriale,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181035,"Controversie contro i provvedimenti del Consiglio dell’ordine di cui al capo VI del D.Lgs. 30/2005,",crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181036,"Cause in materia di rapporti tra società di cui agli artt. 2359, co. 1, n. 3, 2497septies c.c. e 2545septies c.c.",crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181037,Azione revocatoria (art. 2901 c.c.) - Sez. Spec. Impresa,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181042,Azione inibitoria collettiva,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
181099,Altre controversie di competenza della Sez. Spec. dell’Impresa in materia di propr. Industriale e diritto d’autore,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
181999,Altre controversie di competenza della Sez. Spec. dell’Impresa in materia societaria,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
210001,Ingiunzione in materia di lavoro,monitorio,Procedimento monitorio,4,5,curata_codex_fonti_ufficiali
210002,Ingiunzione in materia di previdenza obbligatoria,monitorio,Procedimento monitorio,4,5,curata_codex_fonti_ufficiali
210003,Ingiunzione in materia di assistenza obbligatoria,monitorio,Procedimento monitorio,4,5,curata_codex_fonti_ufficiali
210012,"ex art. 18, 7' comma, Statuto lavoratori",monitorio,Procedimento monitorio,4,5,curata_codex_fonti_ufficiali
210013,"ex art. 15, L. n. 903/1977 (parita uomo-donna)",monitorio,Procedimento monitorio,4,5,curata_codex_fonti_ufficiali
210017,"Reclamo ex art. 1, comma 58, L. 92/2012",monitorio,Procedimento monitorio,4,5,curata_codex_fonti_ufficiali
210999,altre ipotesi,monitorio,Procedimento monitorio,4,5,curata_codex_fonti_ufficiali
211001,sequestro conservativo,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
211002,Sequestro giudiziario ex art. 670 c.p.c.,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
211999,altre ipotesi,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
220002,appalto di manodopera,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220003,lavoro interinale,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220004,avviamento obbligatorio,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220010,contratto a termine e di formazione e lavoro,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220011,apprendistato,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220012,patto di prova,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220020,categoria e qualifica,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220021,mansione e jus variandi,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220030,trasferimento del lavoratore,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220031,trasferimento di azienda,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220040,sanzione disciplinare conservativa,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220060,sospensione con intervento della Cassa integrazione guadagni,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220070,Risarcimento danni da infortunio,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220071,Risarcimento danni da dequalificazione,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220072,Risarcimento danni:altre ipotesi,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220104,Licenziamento del socio della cooperativa,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220105,Licenziamento discriminatorio,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220111,Impugnazione licenziamento con domanda di reintegrazione,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
220120,Dimissioni,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
220999,Altre ipotesi,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221001,qualificazione,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221002,appalto di manodopera,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221003,lavoro interinale,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221004,avviamento obbligatorio,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221010,contratto a termine e di formazione e lavoro,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221011,apprendistato,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221012,patto di prova,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221020,categoria e qualifica,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221021,mansione e jus variandi,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221030,trasferimento del lavoratore,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221031,trasferimento di azienda,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221040,sanzione disciplinare conservativa,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221050,retribuzione,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221060,sospensione con intervento della Cassa integrazione guadagni,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221070,Risarcimento danni da infortunio,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221071,Risarcimento danni da dequalificazione,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221072,Risarcimento danni:altre ipotesi,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221099,Altre ipotesi,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221101,Licenziamento individuale per giust. motivo oggettivo,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221102,Licenziamento individuale per giusta causa,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221103,Licenziamento individuale del dirigente,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221105,Licenziamento discriminatorio,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221111,Impugnazione licenziamento con domanda di reintegrazione,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
221120,Dimissioni,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
221999,Altre ipotesi,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
222101,Licenziamento individuale per giust. motivo oggettivo,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
222102,Licenziamento individuale per giusta causa,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
222103,Licenziamento individuale del dirigente,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
222105,Licenziamento discriminatorio,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
222111,Impugnazione licenziamento con domanda di reintegrazione,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
222120,Dimissioni,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
222999,Altre ipotesi,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
223001,"Rapporto di agenzia e altri rapporti di collaborazione ex art. 409, n. 3 c.p.c.",lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
223999,Altre controversie in materia di lavoro parasubordinato,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
230010,Obbligo contributivo del datore di lavoro,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
230020,Ripetizione di indebito,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
230999,Altre controversie in materia di previdenza obbligatoria,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
231999,Altre controversie in materia di assistenza obbligatoria,lavoro_previdenza,Lavoro e previdenza,4,6,curata_codex_fonti_ufficiali
310001,Procedimento cautelare ante causam,cautelare,Procedimento cautelare,3,5,curata_codex_fonti_ufficiali
320999,Altri istituti di diritto agrario,contenzioso_ordinario,Contenzioso civile ordinario,2,5,curata_codex_fonti_ufficiali
400000,Iscrizione Registro Stampa,volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400100,Reclamo avverso decreto inammissibilita responsabilita civile magistrati,impugnazione,"Impugnazione, reclamo od opposizione",5,5,curata_codex_fonti_ufficiali
400201,Ricorso avverso il decreto di espulsione del prefetto (art. 13 c.8),volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400202,Convalida del provvedimento del questore di trattenimento presso centro permanenza temporanea (art. 14 c. 4 Dl. vo 286/98),volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400203,Ricongiungimento familiare (art. 30),volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400204,"Atti discriminatori (art. 43, 44 )",volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400205,Convalida del Provvedimento del questore di accompagnamento alla frontiera (art. 13 c.5 bis D.L. 286/98),volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400206,Convalida del Provvedimento del questore di accompagnamento alla frontiera e trattenimento presso centro di permanenza temporaneo (art. 13 c.5 bis e art. 14 c. 4 D.L. 286/98),volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400209,Altri procedimenti in materia di espulsione immigrati,volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400210,"Ricorso per la liquidazione degli onorari e dei diritti dell'avvocato (artt. 28 e 29, L. 794/1942) (COLLEGIO)",crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
400211,Ricorso avverso il decreto di liquidazione di compensi agli ausiliari del magistrato e ai collaboratori ex art. 170 T.U. n. 115/2002,crisi_impresa,Crisi d'impresa,3,7,curata_codex_fonti_ufficiali
400212,Iscrizione Albo consulenti,volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400230,Autorizzazione del Tribunale ex art. 375 e 397 c.c. (COLLEGIO),volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400250,Procedimento ammissione patrocinio a spese dello Stato - civile - art. 126 T.U. n. 115/2002,volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400251,Procedimento ammissione patrocinio a spese dello Stato - penale - art. 99 T.U. n. 115/2002,volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400252,Ricorso avverso il rigetto dell'istanza per l'ammissione anticipata (P.S.S.),volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400253,Revoca del provvedimento di ammissione e ricorso avverso il relativo decreto (P.S.S.),volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400260,Ammortamento titoli,volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
400270,Nomina di amministratore della comunione (art. 1105 c.c.) (COLLEGIO),volontaria_giurisdizione,Volontaria giurisdizione,3,6,curata_codex_fonti_ufficiali
